UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Citation,RELATIONSHIP,DATE,LOCATION PRECISION
0a6a155f-15fa-4be3-a723-c09ebca6dca1,Gauls,char-offset:12624,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,32",,390 B.C.,
777014bd-641e-4b81-a0c6-503ffcb2ec60,Gauls,char-offset:12750,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,32",,390 B.C.,
1d5ad48e-4861-4024-8307-b5458ec3f6b8,Gauls,char-offset:13942,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,33",,390 B.C.,
214b2b7e-68db-43b4-ab89-b17b2859c676,Gauls,char-offset:14471,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,33",,390 B.C.,
7ec877a6-ae9a-4428-ae35-2478ad74e213,Gauls,char-offset:14556,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,33",,390 B.C.,
114fa373-075e-4bfe-8be5-5226a067ed07,Gauls,char-offset:14747,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,33",,390 B.C.,
95b15b1a-90d8-4545-960a-0ffb4508a017,Gauls,char-offset:16185,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,34",,390 B.C.,
5e01a18a-6c7b-4973-8775-d42197cac7c3,Gauls,char-offset:17825,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,34",,390 B.C.,
42211271-31d3-45bf-b525-55204ab9fa74,Gauls,char-offset:18210,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,34",,390 B.C.,
f777118a-eab2-4ed9-8dd1-b9fc1627c4e7,Gauls,char-offset:20307,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,35",,390 B.C.,
77469155-6624-4918-8e3a-c6503a722370,Gauls,char-offset:20608,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,35",,390 B.C.,
71a6e7c7-0d2d-469f-bca5-fd8ffefa5b0c,Gauls,char-offset:20767,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
3d3667a4-b336-42cf-a395-8f371f6d45e1,Gauls,char-offset:20852,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
52f2375e-8e30-4c4b-a505-f95ffaf3a4eb,Gauls,char-offset:21262,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
11ded88f-ce0a-40dd-b50a-0d28199f12e1,Gauls,char-offset:21607,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
14fa1081-7a1f-47eb-8f9b-e3195c6687f1,Gauls,char-offset:21786,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
61ac39e3-6f87-4577-b95b-96e6764d1ec7,Gauls,char-offset:22530,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
f0843515-b1c9-4289-a326-ad202487165c,Gauls,char-offset:23385,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
01afacab-c293-4ecd-b17c-8a9e83abc194,Gauls,char-offset:23460,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
4f88b7b6-ac2d-46f4-9e58-e66fbfc75429,Gauls,char-offset:23663,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,36",,386 B.C.,
ebde8aae-193d-4af5-86ff-d4d5f016289b,Gauls,char-offset:24783,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,37",,386 B.C.,
6b8a60df-22db-4032-8862-a2060ff5006d,Gauls,char-offset:26937,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,38",,386 B.C.,
ab722613-eb48-403e-88e7-6db6e8efba4e,Gauls,char-offset:28810,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,39",,386 B.C.,
21d54e99-35cf-4f2b-9954-6d515f8ebdf0,Gauls,char-offset:35768,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,40",,386 B.C.,
7b16bd75-0ab8-4e37-b490-64141264c1e5,Gauls,char-offset:37701,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,42",,386 B.C.,
30f90792-cf08-4473-a1d8-285f3d9c6cfc,Gauls,char-offset:39894,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,43",,386 B.C.,
