ID,Quote Trans,Anchor,Types ,URI,Vocab,LAT,LNG,Place_Type,Citation,Relationship,Date,Location Precision 
1ee33816-6ade-490f-a4ec-2d8c21d78d77,Rome,char-offset:6694,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,33",,426 B.C,
401308f3-d420-4b7b-ba99-b4ff25eafc55,Rome,char-offset:9921,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,34",,426 B.C,
2f0f0743-442d-433f-81ab-69c049fbb61c,Rome,char-offset:730,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,46",,418 B. C.,
0b5a2fbe-6321-47dc-9c59-d8518e6446af,Rome,char-offset:1817,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,46",,418 B. C.,
a50dcd23-ee7c-41cc-bb66-5b407b4d3b25,Rome,char-offset:14303,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,50",,414-413 B. C.,
11527f30-3a59-4206-834e-70c6960e34e3,Rome,char-offset:19406,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,7",,444 B. C.,
d7cc60c7-3c39-405b-8090-68ccec9045c7,Rome,char-offset:20539,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,7",,444 B. C.,
31775c1a-03a6-41b5-9667-069ec7ed4bce,Rome,char-offset:23177,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,8",,444 - 443 B. C.,
9fd7a4e6-0777-4c37-89c3-b45ddea26e81,Rome,char-offset:24957,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,9",,443 B.C.,
ba1a8445-bb18-4223-84ef-38743d5522e4,Rome,char-offset:25240,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,9",,443 B.C.,
ddc65597-666f-4c7f-81a7-5a0770aa1c32,Rome,char-offset:27759,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,9",,443 B.C.,
1cb1a3d2-1b3c-407c-a25b-4c2c2a2e2456,Rome,char-offset:27314,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,56",,408 B.C.,
46ead567-58cc-4bd9-bc46-5b4247544169,Rome,char-offset:29113,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,56",,408 B.C.,
bc347bdf-509c-4516-b1ce-7b9a76f77b85,Rome,char-offset:34885,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,58",,407 B.C.,
b863d8bb-cb6c-4029-857d-23fef2668a3e,Rome,char-offset:43806,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,61",,404 B.C.,
ac587fa6-bb6d-4d19-a672-e00ef875d6d7,Rome,char-offset:44185,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,61",,404 B.C.,
1fd729b8-5552-4f03-9d10-deb860d2d13d,Romulus,char-offset:43799,PERSON,,,,,,"4,15",,439 B. C.,
cbc7284c-dbd9-4e33-9acb-900eb011e984,Romulus,char-offset:9679,PERSON,,,,,,"4,20",,437 B. C.,
a859461c-73bc-42f2-bcff-2947bb67612c,Romulus,char-offset:9785,PERSON,,,,,,"4,20",,437 B. C.,
8a72bcae-883f-4269-be65-63531f0af869,Romulus,char-offset:12278,PERSON,,,,,,"4,20",,437 B. C.,
