UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
ac80f97c-ab4e-4783-bfcb-7bea4ab80f40,Furii,char-offset:7764,PLACE,,,,,,"3,3",,465 B.C.,
df6d50a4-b413-4c59-976c-a3b66842c05b,Furius,char-offset:9204,PERSON,,,,,,"3,5",,464 B.C.,
ff69eace-37eb-43c6-8df2-83a3c7d92c7f,Furius,char-offset:11258,PERSON,,,,,,"3,5",,464 B.C.,
d1f95c5b-43ab-49a9-916d-b1093e8ebc07,Furius,char-offset:11517,PERSON,,,,,,"3,6",,463 B.C.,
b9243a30-b8a1-42a4-b7f6-4e7e86a631c0,Furius,char-offset:34111,PERSON,,,,,,"3,13",,461 B.C.,
fd5f722f-a23d-4756-96f3-a8bed37c5dca,Fusii,char-offset:7771,PERSON,,,,,,"3,3",,465 B.C.,
fa8f7245-e377-467f-b8a0-5d34a78a5040,Gaius Terentilius Harsa,char-offset:22766,PERSON,,,,,,"3,11",,461 B.C.,
7090d919-416f-4998-8411-79986be8691a,Genucius,char-offset:87713,PERSON,,,,,,"3,35",,451 B.C.,
a88439f4-6ef2-405e-bf9b-935587805112,Gracchus Cloelius,char-offset:77522,PERSON,,,,,,"3,26",,458 B.C.,
ded6a799-9add-46c3-9ffb-141ef9843e2c,Greek,char-offset:85280,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"3,32",,456-454 B.C.,
87221b2b-9272-4672-ae72-3ab85dc40697,Herdonius,char-offset:50695,PERSON,,,,,,"3,16",,460 B.C.,
1c2c1883-28e1-42d8-92ba-99ba7c72297f,Herdonius,char-offset:52952,PERSON,,,,,,"3,17",,460 B.C.,
9f19e0b4-12a0-4cbe-bbf9-21d8e5215b1c,Hernican,char-offset:13741,PEOPLE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,6",,463 B.C.,
3ea4561b-cfe9-43cb-81c5-2e83e907f187,Hernici,char-offset:8230,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,4",,464 B.C.,
1e302aeb-53ad-449d-a502-22350bd1b404,Hernici,char-offset:15642,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,7",,463 B.C.,
7db4b1ec-153c-4a8a-96e5-2289d4f7f4c1,Hernici,char-offset:16009,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,7",,463 B.C.,
be0af0e8-d9a9-4312-841c-51556b69d903,Hernici,char-offset:16630,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,7",,463 B.C.,
a6ee2a2c-3f10-47ee-a041-b751d8f96fb5,Hernici,char-offset:18497,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,9",,462 B.C.,
63183dbc-ed9c-4c3a-84ac-dc84fffd1dcd,Hernici,char-offset:20537,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,10",,461 B.C.,
a1343f83-38d5-4d4c-ba33-2975d6fc1983,Hernici,char-offset:20936,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,11",,461 B.C.,
d561231c-2334-4248-b7f6-37d57d05a95c,Hernici,char-offset:28236,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,12",,461 B.C.,
188dfc9c-852e-46ee-82d4-90b4acccef89,Hernici,char-offset:28864,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,12",,461 B.C.,
fffcdb87-f07b-432d-a19c-fbf8acabb268,Hernici,char-offset:60743,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,19",,460 B.C.,
37ac82aa-5374-4262-be26-63aa71e3fb68,Hernici,char-offset:61304,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,19",,460 B.C.,
c732d0c6-6a67-4447-a5a0-6cca1dfab493,Hernici,char-offset:182322,PLACE,http://pleiades.stoa.org/places/422944,Hernici,41.74758569,13.34528397,people,"3,67",,449 B.C.,
fd6560ea-bb55-49c7-8b54-c25aa7c3a29e,Horatii,char-offset:104346,PEOPLE,http://pleiades.stoa.org/places/670733375,tribus Horatia,41.80656858,12.57975783,tribus,"3,38",,450 B.C.,
