QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP (ALLY/ENEMY),DATE,LOCATION PRECISION 
Fidenates,char-offset:74313,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenates,char-offset:74708,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenates,char-offset:74932,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenates,char-offset:78392,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,28",,670 B.C.,YES
Forum,char-offset:32028,PLACE,http://pleiades.stoa.org/places/502866838,Forum Romanum,41.89244905,12.484406,"arch,basilica,plaza","1,12",,750 B.C.,YES
Forum,char-offset:106554,PLACE,http://pleiades.stoa.org/places/502866838,Forum Romanum,41.89244905,12.484406,"arch,basilica,plaza","1,38",,600 B.C.,YES
Forum,char-offset:129038,PLACE,http://pleiades.stoa.org/places/502866838,Forum Romanum,41.89244905,12.484406,"arch,basilica,plaza","1,47",,530 B.C.,YES
Forum,char-offset:131355,PLACE,http://pleiades.stoa.org/places/502866838,Forum Romanum,41.89244905,12.484406,"arch,basilica,plaza","1,48",,530 B.C.,YES
Forum,char-offset:131767,PLACE,http://pleiades.stoa.org/places/502866838,Forum Romanum,41.89244905,12.484406,"arch,basilica,plaza","1,48",,530 B.C.,YES
Fossa Quiritium,char-offset:93409,PLACE,,,,,,"1,33",,625 B.C.,NO
Gabii,char-offset:143246,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,53",,530 B.C.,YES
Gabii,char-offset:143688,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,53",,530 B.C.,YES
Gabii,char-offset:144872,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,53",,530 B.C.,YES
Gabii,char-offset:145210,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,53",,530 B.C.,YES
Gabii,char-offset:145353,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabii,char-offset:146116,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabii,char-offset:146519,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabii,char-offset:146750,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabii,char-offset:147141,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,54",,520 B.C.,YES
Gabii,char-offset:148147,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","1,55",,520 B.C.,YES
