UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Cite,Relationship,Date,Location Precision 
d05fd310-7f6c-49fa-94aa-9beca6085264,Greek,char-offset:53365,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,67",,,YES
a96ab7ba-a68a-4faf-b098-9ba797d1849a,Greek,char-offset:59162,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,7",,,YES
543beb8b-8ccd-4b5c-bbc5-b2ad35ce6351,Greek,char-offset:2930,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,73",,,
8839e359-dbab-49ed-b869-95ea29f89b94,Greek,char-offset:39453,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,84",,,
c1d3deea-7310-4b32-a125-c0fedf9cfb0b,Greek,char-offset:39583,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,84",,,
040bf81b-a9bf-4443-b8f0-11273950a0cd,Greek,char-offset:50855,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
ffd7fd3c-5904-4c5d-a3f3-650546ee3529,Greek,char-offset:51055,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
c884de87-0ccf-421d-8ae9-5ba6142d5195,Greek,char-offset:51805,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
b2cb5545-a47e-4238-8d23-602d1fe74a1f,Greek,char-offset:52686,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
95969126-95f0-4fe2-b197-dc3b0fedc1df,Greek,char-offset:52733,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
95ccf374-fcc0-4bde-b227-a9aac0dab397,Greek,char-offset:53173,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,89",,,
248e4193-2afc-4242-abff-275a838ca1b7,Greek,char-offset:53322,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,90",,,
61c3d9a5-7e17-4cee-b91b-eb4e9cc4a7c0,Greek,char-offset:53593,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,90",,,
4e9bfb35-25a9-477d-964a-9e5b90dfb12e,Greeks,char-offset:543,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,9",UNKNOWN,,
2502f9ca-fad5-46d0-ade6-acfc85e0cb03,Greeks,char-offset:4018,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
2fd11d97-5701-4592-ae2b-dd10fcfeddf3,Greeks,char-offset:4685,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
96f70003-b22a-47bf-aa64-f3491f12bd03,Greeks,char-offset:5237,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
979fe88b-0948-4503-b0fb-97f95cd25310,Greeks,char-offset:5728,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
f4cfa7b8-a34e-4330-a1cd-d6b39d033bd9,Greeks,char-offset:13018,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,14",,,
f8999cb2-6622-4ff0-ad28-932f831175aa,Greeks,char-offset:15065,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,16",,,
1413931a-a6f0-4929-b373-b7c7634d78ad,Greeks,char-offset:23619,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,20",,,
f4fbe6ca-9a59-47e3-a603-edf36762dc97,Greeks,char-offset:24015,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,20",,,
8a177127-d479-4041-bacb-7bc99b6fc60c,Greeks,char-offset:25555,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,21",,,
cd7ba84f-4f65-4b02-b176-baa707e04067,Greeks,char-offset:37834,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,26",,,
